# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
2310 10 0.820677 1.2 21.6 2.53e-05 0.029648
2320 10 0.820677 1.2 15.3 2.46e-05 0.029894
2330 10 0.820677 1 19.8 1.92e-05 0.030086
2340 10 0.820677 1 15.4 1.74e-05 0.03026
2350 10 0.820677 1.1 13.8 2.02e-05 0.030462
2360 10 0.820677 1.2 21.1 3.72e-05 0.030834
2370 10 0.820677 1 12.7 1.55e-05 0.030989
2380 10 0.820677 1 13.5 1.79e-05 0.031168
2390 10 0.820677 1.1 16.9 1.84e-05 0.031352
2400 10 0.831289 1 12.2 1.34e-05 0.031486
2410 10 0.831289 1 12.7 1.53e-05 0.031639
2420 10 0.831289 1 16.8 2.08e-05 0.031847
2430 10 0.831289 1.2 17.8 2.33e-05 0.03208
2440 10 0.831289 1 15.4 1.43e-05 0.032223
2450 10 0.838671 1.1 17.4 2.93e-05 0.032516
2460 10 0.838671 1.1 18.9 2.01e-05 0.032717
2470 10 0.846375 1 17.2 1.85e-05 0.032902
2480 10 0.846375 1 10.9 1.26e-05 0.033028
2490 10 0.846375 1 19.3 2.53e-05 0.033281
2500 10 0.846375 1.1 17.4 2.35e-05 0.033516
2510 10 0.846375 1.2 19.3 2.74e-05 0.03379
2520 10 0.846375 1 21.9 1.59e-05 0.033949
2530 10 0.846375 1 17.7 2.05e-05 0.034154
2540 10 0.853593 1.2 26.6 3.73e-05 0.034527
2550 10 0.853593 1 15.8 1.79e-05 0.034706
2560 10 0.853593 1.1 16.7 2e-05 0.034906
2570 10 0.853593 1.1 18.2 2.28e-05 0.035134
2580 10 0.853593 1 16.3 1.61e-05 0.035295
2590 10 0.853593 1 17.6 1.92e-05 0.035487
2600 10 0.853593 1.1 14.6 2.1e-05 0.035697
2610 10 0.853593 1 20.9 2.18e-05 0.035915
2620 10 0.853593 1.1 20.2 2.28e-05 0.036143
2630 10 0.853593 1.1 14.4 1.99e-05 0.036342
2640 10 0.855063 1 13.6 1.49e-05 0.036491
2650 10 0.855063 1 16.3 2.19e-05 0.03671
2660 10 0.855063 1.2 16.3 2.49e-05 0.036959
2670 10 0.867527 1.1 15.5 2.46e-05 0.037205
2680 10 0.876989 1 15.8 1.59e-05 0.037364
2690 10 0.876989 1.2 21.7 3.23e-05 0.037687
2700 10 0.876989 1 15.2 1.66e-05 0.037853
2710 10 0.876989 1.1 14.8 2.37e-05 0.03809
2720 10 0.876989 1 11.6 1.65e-05 0.038255
2730 10 0.883705 1 13 1.73e-05 0.038428
2740 10 0.883705 1.1 19 2.49e-05 0.038677
2750 10 0.883705 1.2 22.2 3.18e-05 0.038995
2760 10 0.889417 1.1 14.4 2.55e-05 0.03925
2770 10 0.889417 1.2 16.8 2.38e-05 0.039488
2780 10 0.889417 1 20.7 3.9e-05 0.039878
2790 10 0.889417 1 15.9 2.43e-05 0.040121
2800 10 0.904248 1.2 22.1 3.65e-05 0.040486
2810 10 0.904248 1.1 10.1 3.81e-05 0.040867
2820 10 0.904248 1 18.6 2.34e-05 0.041101
2830 10 0.904248 1.2 21.7 3.03e-05 0.041404
2840 10 0.904248 1.1 16.8 2.53e-05 0.041657
2850 10 0.904248 1 11.2 1.66e-05 0.041823
2860 10 0.904248 1 12 1.82e-05 0.042005
2870 10 0.913066 1.1 22 2.36e-05 0.042241
2880 10 0.920745 1.1 13.9 2.08e-05 0.042449
2890 10 0.920745 1.2 16.6 2.61e-05 0.04271
2900 10 0.926378 1.2 22.6 2.96e-05 0.043006
2910 10 0.926378 1.1 13.8 2.7e-05 0.043276
2920 10 0.935564 1.1 19.1 2.83e-05 0.043559
2930 10 0.935564 1.1 13.5 2.52e-05 0.043811
2940 10 0.935564 1 12.8 1.67e-05 0.043978
2950 10 0.935564 1 13.6 1.68e-05 0.044146
2960 10 0.935564 1.1 32.2 4.96e-05 0.044642
2970 10 0.943678 1.1 12.2 2.35e-05 0.044877
2980 10 0.943678 1.1 16 2.48e-05 0.045125
2990 10 0.943678 1 15.1 2.21e-05 0.045346
3000 10 0.943678 1.2 17.8 2.68e-05 0.045614
3010 10 0.952562 1 11.6 1.81e-05 0.045795
3020 10 0.961557 1 11.8 2.03e-05 0.045998
3030 10 0.961557 1 13.9 1.81e-05 0.046179
3040 10 0.969118 1.1 18.4 3.82e-05 0.046561
3050 10 0.969118 1 13.4 2.36e-05 0.046797
3060 10 0.969118 1 13.9 1.82e-05 0.046979
3070 10 0.969118 1.1 22 2.49e-05 0.047228
3080 10 0.969118 1.1 16 2.54e-05 0.047482
3090 10 0.973722 1.1 17.8 3.48e-05 0.04783
3100 10 0.973722 1 15.8 2.34e-05 0.048064
3110 10 0.973722 1.1 15.6 2.99e-05 0.048363
3120 10 0.982843 1.1 15 2.34e-05 0.048597
3130 10 0.982843 1 14.1 2.28e-05 0.048825
3140 10 0.988994 1 15 2.03e-05 0.049028
3150 10 0.988994 1.2 28.8 3.08e-05 0.049336
3160 10 0.988994 1.1 15.8 2.41e-05 0.049577
3170 10 0.988994 1.1 18.7 2.6e-05 0.049837
3180 10 0.988994 1.2 12.8 2.89e-05 0.050126
3190 10 0.996867 1.1 17.8 3.25e-05 0.050451
3200 10 0.996867 1.2 20.7 3.76e-05 0.050827
3210 10 1.00459 1.1 19.2 2.51e-05 0.051078
3220 10 1.00459 1.2 17.5 2.49e-05 0.051327
3230 10 1.00459 1.1 19.6 3.65e-05 0.051692
3240 10 1.00459 1.2 19.9 4.1e-05 0.052102
3250 10 1.00459 1.1 15.8 2.75e-05 0.052377
3260 10 1.00459 1.2 16.9 3.13e-05 0.05269
3270 10 1.00459 1.2 21.1 2.86e-05 0.052976
3280 10 1.00459 1.1 24 3.85e-05 0.053361
3290 10 1.02136 1 18.1 1.96e-05 0.053557
3300 10 1.02136 1.1 14.4 2.24e-05 0.053781
3310 10 1.02136 1 20.7 2.48e-05 0.054029
3320 10 1.03208 1 11.7 1.6e-05 0.054189
3330 10 1.03574 1.1 22.8 2.78e-05 0.054467
3340 10 1.03574 1 16.5 2.58e-05 0.054725
3350 10 1.03574 1 13.4 2.49e-05 0.054974
