# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
1850 10 0.730734 1 12.1 1.16e-05 0.01858
1860 10 0.730734 1 10.8 9.7e-06 0.018677
1870 10 0.734157 1.2 18.5 1.94e-05 0.018871
1880 10 0.734157 1 18 1.28e-05 0.018999
1890 10 0.734157 1.1 21.6 1.7e-05 0.019169
1900 10 0.736386 1 14.4 1.16e-05 0.019285
1910 10 0.736386 1.1 14.4 1.7e-05 0.019455
1920 10 0.736386 1.2 17 2.25e-05 0.01968
1930 10 0.736386 1.1 13.7 1.71e-05 0.019851
1940 10 0.745741 1.1 13.2 1.51e-05 0.020002
1950 10 0.745741 1.1 16.6 1.57e-05 0.020159
1960 10 0.745741 1.1 17.4 1.44e-05 0.020303
1970 10 0.745741 1.1 15.4 1.37e-05 0.02044
1980 10 0.748425 1 9.4 8.2e-06 0.020522
1990 10 0.748425 1 16.5 1.52e-05 0.020674
2000 10 0.748425 1.2 20.3 2.16e-05 0.02089
2010 10 0.756455 1.1 19.7 1.56e-05 0.021046
2020 10 0.756455 1.1 19.3 1.79e-05 0.021225
2030 10 0.76408 1 17.8 1.47e-05 0.021372
2040 10 0.76408 1.2 17.1 1.67e-05 0.021539
2050 10 0.76408 1 14.2 9.4e-06 0.021633
2060 10 0.76408 1 14.7 9.9e-06 0.021732
2070 10 0.76408 1.2 17.2 1.84e-05 0.021916
2080 10 0.76408 1 15.2 1.42e-05 0.022058
2090 10 0.77347 1 15.7 1.17e-05 0.022175
2100 10 0.775858 1.3 18.6 2.31e-05 0.022406
2110 10 0.782862 1 16.1 1.63e-05 0.022569
2120 10 0.782862 1.1 14.4 1.7e-05 0.022739
2130 10 0.782862 1 17 2.7e-05 0.023009
2140 10 0.782862 1.1 26.6 2.41e-05 0.02325
2150 10 0.782862 1.1 15.8 1.76e-05 0.023426
2160 10 0.782862 1 14 1.74e-05 0.0236
2170 10 0.782862 1 13.4 1.43e-05 0.023743
2180 10 0.782862 1.1 24.8 1.62e-05 0.023905
2190 10 0.782862 1 13.9 1.36e-05 0.024041
2200 10 0.782862 1 14.4 1.24e-05 0.024165
2210 10 0.782862 1.1 19.7 1.84e-05 0.024349
2220 10 0.791484 1 19.4 1.56e-05 0.024505
2230 10 0.791484 1.1 16.1 2.14e-05 0.024719
2240 10 0.806304 1.1 13.5 1.72e-05 0.024891
2250 10 0.806304 1.2 26.1 2.03e-05 0.025094
2260 10 0.813349 1.2 20.2 2.05e-05 0.025299
2270 10 0.813349 1.1 11.9 1.58e-05 0.025457
2280 10 0.820677 1.1 11.5 1.57e-05 0.025614
2290 10 0.820677 1.1 15.1 1.6e-05 0.025774
2300 10 0.820677 1.2 17.9 1.66e-05 0.02594
2310 10 0.820677 1.2 21.6 2.21e-05 0.026161
2320 10 0.820677 1.2 15.3 1.8e-05 0.026341
2330 10 0.820677 1 19.8 1.64e-05 0.026505
2340 10 0.820677 1 15.4 1.66e-05 0.026671
2350 10 0.820677 1.1 13.8 1.55e-05 0.026826
2360 10 0.820677 1.2 21.1 3.27e-05 0.027153
2370 10 0.820677 1 12.7 1.47e-05 0.0273
2380 10 0.820677 1 13.5 1.59e-05 0.027459
2390 10 0.820677 1.1 16.9 1.66e-05 0.027625
2400 10 0.831289 1 12.2 1.13e-05 0.027738
2410 10 0.831289 1 12.7 1.46e-05 0.027884
2420 10 0.831289 1 16.8 1.92e-05 0.028076
2430 10 0.831289 1.2 17.8 2.07e-05 0.028283
2440 10 0.831289 1 15.4 1.4e-05 0.028423
2450 10 0.838671 1.1 17.4 2.12e-05 0.028635
2460 10 0.838671 1.1 18.9 1.61e-05 0.028796
2470 10 0.846375 1 17.2 1.53e-05 0.028949
2480 10 0.846375 1 10.9 1.09e-05 0.029058
2490 10 0.846375 1 19.3 2.15e-05 0.029273
2500 10 0.846375 1.1 17.4 1.95e-05 0.029468
2510 10 0.846375 1.2 19.3 2.39e-05 0.029707
2520 10 0.846375 1 21.9 1.26e-05 0.029833
2530 10 0.846375 1 17.7 1.77e-05 0.03001
2540 10 0.853593 1.2 26.6 2.9e-05 0.0303
2550 10 0.853593 1 15.8 1.5e-05 0.03045
2560 10 0.853593 1.1 16.7 2.02e-05 0.030652
2570 10 0.853593 1.1 18.2 2.02e-05 0.030854
2580 10 0.853593 1 16.3 1.27e-05 0.030981
2590 10 0.853593 1 17.6 1.65e-05 0.031146
2600 10 0.853593 1.1 14.6 1.69e-05 0.031315
2610 10 0.853593 1 20.9 1.78e-05 0.031493
2620 10 0.853593 1.1 20.2 2.19e-05 0.031712
2630 10 0.853593 1.1 14.4 2.11e-05 0.031923
2640 10 0.855063 1 13.6 1.48e-05 0.032071
2650 10 0.855063 1 16.3 1.65e-05 0.032236
2660 10 0.855063 1.2 16.3 1.98e-05 0.032434
2670 10 0.867527 1.1 15.5 2.08e-05 0.032642
2680 10 0.876989 1 15.8 1.64e-05 0.032806
2690 10 0.876989 1.2 21.7 2.39e-05 0.033045
2700 10 0.876989 1 15.2 1.16e-05 0.033161
2710 10 0.876989 1.1 14.8 1.81e-05 0.033342
2720 10 0.876989 1 11.6 1.18e-05 0.03346
2730 10 0.883705 1 13 1.54e-05 0.033614
2740 10 0.883705 1.1 19 2.11e-05 0.033825
2750 10 0.883705 1.2 22.2 2.88e-05 0.034113
2760 10 0.889417 1.1 14.4 1.82e-05 0.034295
2770 10 0.889417 1.2 16.8 2.05e-05 0.0345
2780 10 0.889417 1 20.7 1.72e-05 0.034672
2790 10 0.889417 1 15.9 1.51e-05 0.034823
2800 10 0.904248 1.2 22.1 2.45e-05 0.035068
2810 10 0.904248 1.1 10.1 2.49e-05 0.035317
2820 10 0.904248 1 18.6 4.19e-05 0.035736
2830 10 0.904248 1.2 21.7 2.77e-05 0.036013
2840 10 0.904248 1.1 16.8 1.99e-05 0.036212
2850 10 0.904248 1 11.2 1.96e-05 0.036408
2860 10 0.904248 1 12 1.71e-05 0.036579
2870 10 0.913066 1.1 22 2.09e-05 0.036788
2880 10 0.920745 1.1 13.9 1.77e-05 0.036965
2890 10 0.920745 1.2 16.6 3.33e-05 0.037298
